排名,公司,行业,E_得分,S_得分,G_得分,ESG综合
1,中国人寿,其他,1.0,1.0,1.0,1.0
2,平安银行,金融,1.0,1.0,0.917,0.972
3,招商银行,金融,1.0,1.0,0.9,0.967
4,药明康德,医药,1.0,0.775,1.0,0.925
5,TCL科技,科技,1.0,0.75,1.0,0.917
6,恒瑞医药,医药,1.0,0.886,0.833,0.906
7,中国国航,交通运输,1.0,0.767,0.944,0.904
8,中国移动,通信,1.0,0.737,0.958,0.898
9,三环集团,科技,1.0,0.793,0.857,0.883
10,中信证券,金融,1.0,0.987,0.66,0.882
11,兴业银行,金融,1.0,1.0,0.625,0.875
12,万科A,房地产,1.0,0.61,1.0,0.87
13,中远海控,交通运输,1.0,0.86,0.75,0.87
14,中国平安,其他,1.0,0.766,0.8,0.855
15,泸州老窖,食品饮料,1.0,0.494,1.0,0.831
16,科大讯飞,科技,0.975,0.887,0.614,0.825
17,青岛啤酒,食品饮料,0.933,0.541,1.0,0.825
18,宁波银行,金融,1.0,0.896,0.5,0.799
19,农业银行,金融,0.529,1.0,0.858,0.796
20,工商银行,金融,1.0,0.546,0.833,0.793
21,兆易创新,科技,1.0,0.64,0.736,0.792
22,宝钢股份,材料,1.0,0.517,0.8,0.772
23,中国中免,其他,1.0,0.775,0.542,0.772
24,潍柴动力,制造业,1.0,0.529,0.774,0.768
25,阳光电源,新能源,0.93,0.646,0.708,0.761
26,智飞生物,医药,1.0,0.617,0.667,0.761
27,紫光国微,科技,1.0,0.446,0.833,0.76
28,京东方A,科技,1.0,0.487,0.792,0.76
29,恒生电子,其他,1.0,0.551,0.697,0.749
30,中国核电,能源,1.0,0.571,0.667,0.746
31,泰格医药,医药,1.0,0.363,0.857,0.74
32,招商蛇口,房地产,1.0,0.382,0.833,0.738
33,片仔癀,医药,1.0,0.411,0.792,0.734
34,比亚迪,汽车,0.787,0.51,0.875,0.724
35,华能国际,能源,1.0,0.575,0.583,0.719
36,通威股份,新能源,0.82,0.654,0.667,0.714
37,长江电力,能源,1.0,0.137,1.0,0.712
38,南方航空,交通运输,0.525,0.601,1.0,0.709
39,贵州茅台,食品饮料,1.0,0.185,0.929,0.705
40,康龙化成,医药,0.71,0.721,0.667,0.699
41,云南白药,医药,1.0,0.363,0.708,0.69
42,顺丰控股,交通运输,1.0,0.184,0.875,0.686
43,紫金矿业,其他,0.762,0.285,1.0,0.682
44,中芯国际,科技,0.676,0.469,0.889,0.678
45,中国石化,能源,1.0,0.4,0.63,0.677
46,三一重工,制造业,0.574,0.645,0.792,0.67
47,TCL中环,科技,1.0,0.341,0.667,0.669
48,中国联通,通信,1.0,1.0,0.0,0.667
49,宁德时代,新能源,0.914,0.419,0.667,0.667
50,中国电信,通信,0.715,0.59,0.692,0.666
51,广发证券,金融,1.0,0.978,0.0,0.659
52,海螺水泥,材料,1.0,0.297,0.666,0.654
53,蓝思科技,科技,0.753,0.193,1.0,0.649
54,隆基绿能,新能源,0.841,0.437,0.667,0.648
55,古井贡酒,食品饮料,1.0,0.262,0.667,0.643
56,山西汾酒,食品饮料,0.527,0.511,0.864,0.634
57,海尔智家,制造业,0.542,0.63,0.72,0.631
58,立讯精密,科技,0.82,0.28,0.75,0.617
59,爱尔眼科,医药,0.5,0.422,0.929,0.617
60,格力电器,制造业,0.774,0.382,0.65,0.602
61,航发动力,制造业,1.0,0.216,0.583,0.6
62,中微公司,科技,0.62,0.59,0.583,0.598
63,民生银行,金融,1.0,0.783,0.0,0.594
64,传音控股,科技,1.0,0.113,0.667,0.593
65,交通银行,金融,1.0,0.0,0.775,0.592
66,中兴通讯,科技,1.0,0.775,0.0,0.592
67,赣锋锂业,新能源,0.625,0.225,0.9,0.583
68,牧原股份,农业,0.681,0.306,0.75,0.579
69,大秦铁路,交通运输,0.965,0.105,0.655,0.575
70,华泰证券,金融,1.0,0.705,0.0,0.568
71,国投电力,能源,0.0,1.0,0.667,0.556
72,圣邦股份,科技,0.775,0.894,0.0,0.556
73,汇川技术,科技,0.554,0.439,0.667,0.553
74,中联重科,其他,0.585,0.277,0.792,0.551
75,金山办公,科技,1.0,0.644,0.0,0.548
76,迈瑞医疗,医药,0.0,0.645,1.0,0.548
77,中国石油,能源,1.0,0.614,0.0,0.538
78,兖矿能源,能源,0.503,0.392,0.697,0.531
79,国电南瑞,科技,0.518,0.267,0.8,0.528
80,芒果超媒,传媒,1.0,0.0,0.583,0.528
81,北方华创,科技,0.0,0.794,0.78,0.525
82,中国交建,其他,1.0,0.509,0.0,0.503
83,东方雨虹,材料,0.52,0.323,0.66,0.501
84,大华股份,科技,0.542,0.281,0.667,0.497
85,东方财富,金融,1.0,0.481,0.0,0.494
86,长安汽车,汽车,0.558,0.0,0.917,0.492
87,福耀玻璃,汽车,1.0,0.462,0.0,0.487
88,伊利股份,食品饮料,0.707,0.0,0.727,0.478
89,中国建筑,建筑,0.0,0.42,1.0,0.473
90,海天味业,食品饮料,0.71,0.0,0.667,0.459
91,中国太保,金融,0.0,0.448,0.917,0.455
92,温氏股份,农业,0.0,0.585,0.667,0.417
