行业,公司数,平均碳排放(吨),平均可再生比例(%),平均女性员工(%),平均研发占比(%)
科技,20,5236620.0,32.0,28.0,14.96
金融,16,488917.0,5.8,45.5,0.9
医药,11,432252.0,21.0,56.6,8.76
食品饮料,10,968021.0,34.1,23.3,1.14
能源,9,102217046.0,0.7,31.0,1.97
交通运输,7,10077199.0,35.2,30.7,0.45
制造业,7,440504529.0,22.4,25.3,3.9
其他,7,1811459.0,22.8,39.8,15.63
新能源,5,10680671.0,58.9,22.5,4.87
汽车,5,3198616.0,23.4,30.0,5.77
材料,4,63218194.0,4.0,15.2,4.07
通信,3,6865007.0,14.4,51.5,3.9
传媒,2,10544.0,,,
房地产,2,1573392.0,,39.3,0.13
农业,2,15648100.0,4.4,25.7,1.5
建筑,1,,,21.0,
