code,name,exchange,market
000001,平安银行,SZSE,深市
000002,万  科Ａ,SZSE,深市
000009,中国宝安,SZSE,深市
000012,南  玻Ａ,SZSE,深市
000016,*ST康佳A,SZSE,深市
000021,深科技,SZSE,深市
000026,飞亚达,SZSE,深市
000027,深圳能源,SZSE,深市
000028,国药一致,SZSE,深市
000031,大悦城,SZSE,深市
000035,中国天楹,SZSE,深市
000039,中集集团,SZSE,深市
000050,深天马Ａ,SZSE,深市
000055,方大集团,SZSE,深市
000060,中金岭南,SZSE,深市
000061,农 产 品,SZSE,深市
000063,中兴通讯,SZSE,深市
000065,北方国际,SZSE,深市
000069,华侨城Ａ,SZSE,深市
000088,盐 田 港,SZSE,深市
000090,天健集团,SZSE,深市
000157,中联重科,SZSE,深市
000166,申万宏源,SZSE,深市
000333,美的集团,SZSE,深市
000338,潍柴动力,SZSE,深市
000400,许继电气,SZSE,深市
000401,金隅冀东,SZSE,深市
000402,金 融 街,SZSE,深市
000407,胜利股份,SZSE,深市
000415,渤海租赁,SZSE,深市
000425,徐工机械,SZSE,深市
000498,山东路桥,SZSE,深市
000513,丽珠集团,SZSE,深市
000516,国际医学,SZSE,深市
000517,荣安地产,SZSE,深市
000528,柳    工,SZSE,深市
000530,冰山冷热,SZSE,深市
000536,华映科技,SZSE,深市
000538,云南白药,SZSE,深市
000539,粤电力Ａ,SZSE,深市
000544,中原环保,SZSE,深市
000547,航天发展,SZSE,深市
000550,江铃汽车,SZSE,深市
000559,万向钱潮,SZSE,深市
000563,陕国投Ａ,SZSE,深市
000568,泸州老窖,SZSE,深市
000581,威孚高科,SZSE,深市
000592,平潭发展,SZSE,深市
000596,古井贡酒,SZSE,深市
000598,兴蓉环境,SZSE,深市
000617,中油资本,SZSE,深市
000623,吉林敖东,SZSE,深市
000625,长安汽车,SZSE,深市
000629,钒钛股份,SZSE,深市
000630,铜陵有色,SZSE,深市
000635,英 力 特,SZSE,深市
000651,格力电器,SZSE,深市
000652,泰达股份,SZSE,深市
000655,金岭矿业,SZSE,深市
000661,长春高新,SZSE,深市
000663,永安林业,SZSE,深市
000672,上峰水泥,SZSE,深市
000680,山推股份,SZSE,深市
000686,东北证券,SZSE,深市
000690,宝新能源,SZSE,深市
000701,厦门信达,SZSE,深市
000703,恒逸石化,SZSE,深市
000708,中信特钢,SZSE,深市
000709,河钢股份,SZSE,深市
000712,锦龙股份,SZSE,深市
000718,苏宁环球,SZSE,深市
000725,京东方Ａ,SZSE,深市
000726,鲁  泰Ａ,SZSE,深市
000728,国元证券,SZSE,深市
000729,燕京啤酒,SZSE,深市
000735,罗 牛 山,SZSE,深市
000750,国海证券,SZSE,深市
000753,漳州发展,SZSE,深市
000758,中色股份,SZSE,深市
000768,中航西飞,SZSE,深市
000776,广发证券,SZSE,深市
000778,新兴铸管,SZSE,深市
000783,长江证券,SZSE,深市
000786,北新建材,SZSE,深市
000792,盐湖股份,SZSE,深市
000796,凯撒旅业,SZSE,深市
000797,中国武夷,SZSE,深市
000800,一汽解放,SZSE,深市
000807,云铝股份,SZSE,深市
000825,太钢不锈,SZSE,深市
000826,*ST启环,SZSE,深市
000869,张  裕Ａ,SZSE,深市
000876,新 希 望,SZSE,深市
000881,中广核技,SZSE,深市
000883,湖北能源,SZSE,深市
000895,双汇发展,SZSE,深市
000898,鞍钢股份,SZSE,深市
000917,电广传媒,SZSE,深市
000919,金陵药业,SZSE,深市
000933,神火股份,SZSE,深市
000937,冀中能源,SZSE,深市
000938,紫光股份,SZSE,深市
000950,重药控股,SZSE,深市
000959,首钢股份,SZSE,深市
000960,锡业股份,SZSE,深市
000962,东方钽业,SZSE,深市
000963,华东医药,SZSE,深市
000968,蓝焰控股,SZSE,深市
000969,安泰科技,SZSE,深市
000977,浪潮信息,SZSE,深市
000983,山西焦煤,SZSE,深市
000988,华工科技,SZSE,深市
000993,闽东电力,SZSE,深市
000997,新 大 陆,SZSE,深市
000999,华润三九,SZSE,深市
001872,招商港口,SZSE,深市
001965,招商公路,SZSE,深市
001979,招商蛇口,SZSE,深市
002001,新 和 成,SZSE,深市
002003,伟星股份,SZSE,深市
002006,精工科技,SZSE,深市
002007,华兰生物,SZSE,深市
002008,大族激光,SZSE,深市
002024,ST易购,SZSE,深市
002027,分众传媒,SZSE,深市
002029,七 匹 狼,SZSE,深市
002030,达安基因,SZSE,深市
002033,丽江股份,SZSE,深市
002035,华帝股份,SZSE,深市
002038,双鹭药业,SZSE,深市
002039,黔源电力,SZSE,深市
002042,华孚时尚,SZSE,深市
