code,name,title,year,filepath,status
000001,平安银行,平安银行：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000001_平安银行_2026.pdf,success
000002,万  科Ａ,万科A：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000002_万科A_2026.pdf,success
000004,*ST国华,,,,no_esg_report
000006,深振业Ａ,深振业Ａ：振业集团环境、社会和公司治理（ESG）报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000006_深振业A_2025.pdf,success
000007,全新好,,,,no_esg_report
000008,神州高铁,神州高铁：神州高铁2025可持续发展（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000008_神州高铁_2026.pdf,success
000009,中国宝安,中国宝安：2025年度社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000009_中国宝安_2026.pdf,success
000010,*ST美丽,深华新：关于浙江深华新生态建设发展有限公司截至2014年12月31日债权债务专项审核报告,2015,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000010_ST美丽_2015.pdf,success
000011,深物业A,深物业A：2025年度ESG暨社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000011_深物业A_2026.pdf,success
000012,南  玻Ａ,南  玻Ａ：2025年度社会责任报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000012_南玻A_2026.pdf,success
000014,沙河股份,沙河股份：2025年可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000014_沙河股份_2026.pdf,success
000016,*ST康佳A,深康佳Ａ：2025年度环境、社会和公司治理(ESG)报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000016_ST康佳A_2026.pdf,success
000017,深中华A,*ST中华A：深圳市国民投资发展有限公司及张燕芬女士关于纪汉飞先生受让深圳市国晟能源投资发展有限公司100%股权之调查报告,2011,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000017_深中华A_2011.pdf,success
000019,深粮控股,深粮控股：2018社会责任报告,2019,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000019_深粮控股_2019.pdf,success
000020,深华发Ａ,,,,no_esg_report
000021,深科技,深科技：2025年环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000021_深科技_2026.pdf,success
000025,特  力Ａ,特  力Ａ：2025年度环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000025_特力A_2026.pdf,success
000026,飞亚达,飞亚达：2025年度环境、社会和公司治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000026_飞亚达_2026.pdf,success
000027,深圳能源,深圳能源：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000027_深圳能源_2026.pdf,success
000028,国药一致,国药一致：2025年度ESG报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000028_国药一致_2026.pdf,success
000029,深深房Ａ,深深房Ａ：2025年度环境、社会及公司治理(ESG)报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000029_深深房A_2026.pdf,success
000030,富奥股份,富奥股份：富奥股份2025环境、社会和公司治理(ESG)报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000030_富奥股份_2026.pdf,success
000031,大悦城,大悦城：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000031_大悦城_2026.pdf,success
000032,深桑达Ａ,深桑达Ａ：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000032_深桑达A_2026.pdf,success
000034,神州数码,神州数码：2025年可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000034_神州数码_2026.pdf,success
000035,中国天楹,中国天楹：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000035_中国天楹_2026.pdf,success
000036,华联控股,华联控股：淳安县国有资产管理委员会办公室拟实施补偿回购涉及的浙江省兴财房地产发展有限公司股东全部权益价值资产评估报告,2018,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000036_华联控股_2018.pdf,success
000037,深南电A,,,,no_esg_report
000039,中集集团,中集集团：中国国际海运集装箱（集团）股份有限公司2025年度可持续发展暨环境、社会及管治报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000039_中集集团_2026.pdf,success
000042,中洲控股,中洲控股：拟进行股权收购所涉及的惠州市康威投资发展有限公司股东全部权益价值评估报告,2014,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000042_中洲控股_2014.pdf,success
000045,深纺织Ａ,深纺织Ａ：《深圳市纺织（集团）股份有限公司2024年环境、社会和公司治理（ESG）报告》,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000045_深纺织A_2025.pdf,success
000048,京基智农,京基智农：2023年度环境、社会及公司治理（ESG）报告,2024,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000048_京基智农_2024.pdf,success
