code,name,title,year,filepath,status
600519,贵州茅台,贵州茅台：贵州茅台2025年环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600519_贵州茅台_2026.pdf,success
000858,五粮液,五 粮 液：2024年度环境、社会及公司治理（ESG）报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000858_五粮液_2025.pdf,success
601318,中国平安,中国平安：中国平安2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\601318_中国平安_2026.pdf,success
600036,招商银行,招商银行：招商银行股份有限公司2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600036_招商银行_2026.pdf,success
000333,美的集团,美的集团：2025年度环境、社会及管治（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000333_美的集团_2026.pdf,success
002415,海康威视,海康威视：2025年度环境、社会和公司治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002415_海康威视_2026.pdf,success
600276,恒瑞医药,恒瑞医药：恒瑞医药2025年环境、社会及管治报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600276_恒瑞医药_2026.pdf,success
000651,格力电器,格力电器：2025年度环境、社会及公司治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000651_格力电器_2026.pdf,success
600900,长江电力,长江电力：长江电力2024年度环境、社会和治理（ESG）报告,2025,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600900_长江电力_2025.pdf,success
002714,牧原股份,牧原股份：2025年度环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002714_牧原股份_2026.pdf,success
601166,兴业银行,兴业银行：兴业银行2025年年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\601166_兴业银行_2026.pdf,success
600030,中信证券,中信证券：中信证券股份有限公司2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600030_中信证券_2026.pdf,success
000568,泸州老窖,泸州老窖：2025年环境、社会及治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\000568_泸州老窖_2026.pdf,success
601899,紫金矿业,紫金矿业：紫金矿业集团股份有限公司2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\601899_紫金矿业_2026.pdf,success
600809,山西汾酒,山西汾酒：2025年度环境、社会和公司治理(ESG)报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600809_山西汾酒_2026.pdf,success
002594,比亚迪,比亚迪：2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\002594_比亚迪_2026.pdf,success
300750,宁德时代,宁德时代：2025年环境、社会与公司治理（ESG）报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\300750_宁德时代_2026.pdf,success
600887,伊利股份,伊利股份：内蒙古伊利实业集团股份有限公司2025年度可持续发展报告,2026,C:\Users\13765\OneDrive\Desktop\研究生\数据要素\data\pdfs\600887_伊利股份_2026.pdf,success
